fold,f1,auc,acc,prec,rec,best_thr
0,0.7692307692307693,0.84,0.7,0.625,1.0,0.30000000000000004
1,0.8888888888888888,0.9583333333333334,0.9,0.8,1.0,0.55
2,0.9090909090909091,0.9166666666666667,0.9,1.0,0.8333333333333334,0.27
3,0.8,0.88,0.8,0.8,0.8,0.61
4,1.0,1.0,1.0,1.0,1.0,0.28
5,0.9230769230769231,1.0,0.9,0.8571428571428571,1.0,0.5
6,1.0,1.0,1.0,1.0,1.0,0.52
7,0.8333333333333334,0.84,0.8,0.7142857142857143,1.0,0.2
8,0.8888888888888888,0.9583333333333334,0.9,0.8,1.0,0.41000000000000003
9,0.9090909090909091,0.9600000000000001,0.9,0.8333333333333334,1.0,0.31
